chapter_no,title,section,start_page,keywords
1,Neonatal Hypoglycemia,Neonatology,15,hypoglycemia;low blood sugar;neonate;BSL;dextrose;hypoglycaemia
2,Atopic Dermatitis,Dermatology,29,eczema;atopic;dermatitis;skin allergy;itching;rash
3,Anaphylaxis,Allergy/Immunology,41,anaphylaxis;allergic shock;adrenaline;epinephrine;wheal;angioedema
4,Difficulties in Breathing,Respiratory,53,respiratory distress;dyspnoea;dyspnea;breathing difficulty;tachypnoea;tachypnea;wheeze
5,Neonatal Sepsis,Neonatology,67,neonatal sepsis;sepsis;EONS;LONS;blood culture;sepsis screen;antibiotics neonate
6,UTI,Nephrology,83,urinary tract infection;UTI;pyelonephritis;cystitis;urine culture;pyuria
7,Food Allergy,Allergy/Immunology,95,food allergy;cow milk protein;CMPA;peanut allergy;egg allergy;IgE
8,Enteric Fever,Infectious Diseases,107,enteric fever;typhoid;salmonella typhi;widal;blood culture
9,Menstrual Irregularities,Adolescent,121,menstrual;menorrhagia;dysmenorrhea;amenorrhea;irregular periods;adolescent gynaecology
